kernel,N,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,gflops_scalar,gflops_simd,cpe_scalar,cpe_simd,validated,rtol,atol,abs_err,rel_err
Stencil,602393,7.291000e-04,4.150036e-05,4.328667e-04,9.590210e-05,1.684,2.479,4.175,3.021,1.794,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,786431,9.710333e-04,6.215660e-05,6.982000e-04,3.677921e-05,1.391,2.430,3.379,3.082,2.216,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,1026696,1.398333e-03,1.521096e-05,1.258867e-03,3.133487e-04,1.111,2.203,2.447,3.399,3.060,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,1340363,1.826033e-03,6.043346e-05,1.509700e-03,1.518534e-04,1.210,2.202,2.664,3.400,2.811,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,1749860,2.458400e-03,1.005754e-04,1.894200e-03,2.927166e-05,1.298,2.135,2.771,3.507,2.702,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,2284463,3.374433e-03,2.852198e-05,2.718500e-03,1.159275e-04,1.241,2.031,2.521,3.687,2.970,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,2982393,5.243433e-03,1.176730e-03,3.458000e-03,2.584028e-05,1.516,1.706,2.587,4.388,2.894,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,3893550,5.799400e-03,2.483763e-04,4.393667e-03,1.038099e-04,1.320,2.014,2.659,3.718,2.817,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,5083075,7.750800e-03,6.011941e-04,6.705800e-03,1.501735e-03,1.156,1.967,2.274,3.806,3.293,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,6636014,9.757900e-03,3.831211e-04,8.088533e-03,1.625433e-04,1.206,2.040,2.461,3.670,3.042,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,8663394,1.246520e-02,2.168738e-04,1.048113e-02,1.047765e-04,1.189,2.085,2.480,3.591,3.020,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,11310162,1.651970e-02,5.021887e-04,1.364303e-02,3.467391e-04,1.211,2.054,2.487,3.646,3.011,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,14765549,2.184160e-02,8.444030e-04,1.750550e-02,1.182313e-03,1.248,2.028,2.530,3.692,2.959,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,19276597,2.738673e-02,2.348985e-04,2.258993e-02,6.233866e-04,1.212,2.112,2.560,3.546,2.925,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,25165823,3.778207e-02,2.799121e-03,3.103290e-02,2.078209e-03,1.217,1.998,2.433,3.747,3.078,1,1e-05,1e-07,0.000e+00,0.000e+00
